,Case 1,Case 2 (labelled),Case 3
0,0.000507258,0.000102473,7.91338E-05
1,0.000708922,8.82506E-05,7.25697E-05
2,0.00045584,9.8826E-05,6.63703E-05
3,0.000443441,9.48147E-05,6.38176E-05
4,0.000444535,9.6638E-05,6.41822E-05
5,0.000433959,9.73674E-05,6.41822E-05
6,0.000484284,0.000123624,7.47577E-05
7,0.000491578,0.000104661,6.30882E-05
8,0.000530962,0.000116695,6.81936E-05
9,0.000438335,0.000133105,0.00011706
10,0.000467509,0.00011086,7.51224E-05
11,0.000439794,0.000117789,6.38176E-05
12,0.001257753,9.73674E-05,6.67349E-05
13,0.000438335,9.48147E-05,6.45469E-05
14,0.000536067,0.000121436,6.38176E-05
15,0.000475897,8.53332E-05,9.40853E-05
16,0.000453652,9.3356E-05,7.2205E-05
17,0.000478814,9.80967E-05,7.18403E-05
18,0.000473344,9.08033E-05,6.38176E-05
19,0.000510905,0.000100285,6.34529E-05
20,0.000491942,9.15326E-05,6.41822E-05
21,0.000448911,9.48147E-05,6.52762E-05
22,0.0005058,9.00739E-05,7.94984E-05
23,0.000447452,0.000145869,6.8923E-05
24,0.000465686,0.000112684,6.38176E-05
25,0.000517105,0.000125812,6.78289E-05
26,0.000596968,9.18973E-05,8.13218E-05
27,0.000490848,9.18973E-05,6.34529E-05
28,0.000450734,0.000101014,6.45469E-05
29,0.000524398,9.40853E-05,0.000100285
30,0.00050507,9.04386E-05,6.60056E-05
31,0.000484649,9.3356E-05,8.64272E-05
32,0.000459851,8.97093E-05,7.14757E-05
33,0.000503247,0.000102473,6.78289E-05
34,0.000466051,9.37206E-05,6.23589E-05
35,0.000626506,9.59087E-05,6.8923E-05
36,0.000442712,9.2262E-05,6.27235E-05
37,0.000455475,9.40853E-05,0.000134929
38,0.000442712,9.29913E-05,9.99201E-05
39,0.000433959,9.6638E-05,6.41822E-05
40,0.000847862,9.73674E-05,0.00031143
41,0.000513823,9.5544E-05,0.000126176
42,0.000541538,0.000117789,7.18403E-05
43,0.000559771,0.000108672,6.78289E-05
44,0.000509082,9.445E-05,8.13218E-05
45,0.000434324,0.000187441,6.81936E-05
46,0.000441253,9.80967E-05,6.30882E-05
47,0.000446723,9.37206E-05,6.27235E-05
48,0.000446723,9.29913E-05,8.64272E-05
49,0.000435053,9.70027E-05,8.82506E-05
50,0.000842756,9.48147E-05,7.1111E-05
51,0.000448911,8.75212E-05,6.38176E-05
52,0.000487566,0.000150974,6.81936E-05
53,0.000447088,9.15326E-05,6.52762E-05
54,0.000440159,8.78859E-05,6.38176E-05
55,0.000464957,9.37206E-05,8.64272E-05
56,0.000535703,9.11679E-05,7.76751E-05
57,0.00050507,9.48147E-05,7.58517E-05
58,0.000472615,0.000119612,6.41822E-05
59,0.000484284,9.84614E-05,7.58517E-05
60,0.000541902,9.29913E-05,6.56409E-05
61,0.000452193,0.000105025,8.31452E-05
62,0.000528774,9.2262E-05,7.47577E-05
63,0.000465686,9.15326E-05,6.41822E-05
64,0.000520751,0.000103931,6.45469E-05
65,0.000435053,9.48147E-05,6.67349E-05
66,0.000529503,9.18973E-05,6.45469E-05
67,0.000438335,9.59087E-05,7.03817E-05
68,0.000515646,9.37206E-05,8.09571E-05
69,0.000490848,0.000105755,6.45469E-05
70,0.000474803,9.29913E-05,9.18973E-05
71,0.000443806,9.62733E-05,0.000104661
72,0.000479543,9.2262E-05,7.2205E-05
73,0.000442347,9.29913E-05,7.18403E-05
74,0.000552113,9.48147E-05,0.000111954
75,0.00043323,9.15326E-05,7.07463E-05
76,0.000502518,8.78859E-05,6.96523E-05
77,0.000512729,9.51793E-05,7.2205E-05
78,0.000445264,9.26266E-05,6.30882E-05
79,0.00044964,0.000121436,6.67349E-05
80,0.000498871,9.48147E-05,7.40284E-05
81,0.00044417,9.08033E-05,6.45469E-05
82,0.00044417,0.000102837,6.34529E-05
83,0.000526951,8.86152E-05,6.38176E-05
84,0.000470427,0.000106484,6.38176E-05
85,0.000463133,9.8826E-05,0.000181971
86,0.0004387,9.445E-05,6.38176E-05
87,0.000439794,9.48147E-05,7.47577E-05
88,0.000464227,9.91907E-05,7.76751E-05
89,0.000788056,0.000136752,8.46038E-05
90,0.000475897,9.37206E-05,7.14757E-05
91,0.000463862,0.000107213,6.30882E-05
92,0.000800455,8.89799E-05,7.07463E-05
93,0.000529139,9.48147E-05,6.41822E-05
94,0.00048866,9.40853E-05,6.45469E-05
95,0.000730802,0.000109766,6.38176E-05
96,0.00051127,9.37206E-05,0.000102837
97,0.000618848,0.000110496,0.00010539
98,0.000496318,0.000100649,7.0017E-05
99,0.000500694,9.15326E-05,0.000127635
Average,0.000507856,0.000100598,7.78684E-05
Std Dev,0.000112542,1.50058E-05,2.99368E-05
